State,Population (2011),Area (km2),Male Literacy rate,Female Literacy rate,Avrage Literacy rate,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Andhra Pradesh,"495,06,799","1,62,975",73.4,59.5,66.4,70830,52418,3970,30230,1926,30224,46716,33062,15576,4252,2064,16958,216444,637154,163378,473090,59354,28216,223866,6696,25948,1214108,14280,127296,88686,270600,31268,313232,1083946,4474110
Arunachal Pradesh,"13,83,727","83,743",73.69,59.57,66.95,1992,1002,86,1150,166,1158,1998,1296,868,578,156,1856,6244,11486,2460,8940,792,1194,1208,104,570,11310,126,2202,434,448,996,2064,16940,60868
Assam,"312,05,576","78,550",90.1,81.2,85.9,1451,1142,57,14,1980,0,0,0,1980,23,1957,227,4823,0,6,61,3883,873,267,1,266,20,1038,4954,4489,465,12737,3498,9239,834
Bihar,"1040,99,452","94,163",79.7,60.5,70.9,96178,98374,8264,29430,2258,28500,85580,47616,40218,23404,4842,51342,102096,350626,84036,266942,243336,35858,71420,2240,19390,449994,32660,25162,9538,60792,46670,115004,1226014,3028216
Chhattisgarh,"255,45,198","1,35,194",90.54,81.38,86.43,28006,18546,802,26436,2872,26436,11160,9022,5010,3158,3090,10970,100394,138672,45230,90930,23892,4602,16062,1248,7054,191156,3312,49346,8636,23176,12208,62608,544114,1235924
Goa,"14,58,545","3,702",92.81,81.84,87.4,1114,718,150,872,190,872,688,468,410,136,186,674,8474,18634,6462,11906,1880,1340,2776,362,648,5272,102,1724,948,612,2308,6510,23782,72790
Gujarat,"604,39,692","1,96,024",89.5,74.8,82.4,32034,14942,1072,9968,1682,9962,35824,30296,7210,8292,2052,31636,136782,458776,210816,246298,50570,36400,37372,5452,12494,290300,3480,29436,6160,140164,28674,136652,1673164,3086906
Haryana,"253,51,462","44,212",88,71.3,80.4,25118,17996,1954,14780,2350,14760,22856,16172,9032,3518,6938,13540,111414,300326,193904,106198,30204,22148,35554,790,4528,109012,8534,27200,29190,63364,40632,68152,506576,1334802
Himachal Pradesh,"68,64,602","55,673",92.9,80.5,86.6,3376,1936,290,4108,566,4108,4300,3662,1204,130,556,510,21850,21090,6474,14488,15476,2978,6258,132,3252,34132,142,9948,1950,8064,1304,14320,189672,337438
Jharkhand,"329,88,134","79,716",83,64.7,74.3,44696,27902,2794,20736,2110,20716,19494,12416,9178,12380,3090,18974,38884,156522,41442,115008,63766,11762,24594,430,4872,92458,8238,11902,2214,22186,14386,35796,352390,941266
